X--Trace 1::[AC: FREQUENCY],Mag: PR1: V(3),Phase: PR1: V(3)
1,0.00019980518204810828,89.93016722081242
1.2589254117941673,0.00025153974117961476,89.91208575490222
1.5848931924611136,0.0003166696128080986,89.88932255311099
1.99526231496888,0.0003986631045850077,89.86066541010172
2.5118864315095806,0.0005018864783716055,89.82458826475381
3.16227766016838,0.0006318363750005704,89.77916994983622
3.9810717055349736,0.0007954323416883034,89.72199191874611
5.011872336272725,0.00100138494655364,89.65000952070959
6.309573444801935,0.0012606588967569176,89.55939000493225
7.9432823472428185,0.0015870554500879836,89.44530869775792
10.000000000000005,0.001997944391718331,89.30169264001344
12.58925411794168,0.0025151830730846467,89.12089831449606
15.848931924611145,0.0031662684972727623,88.89330686416653
19.95262314968881,0.003985777908683794,88.60681636675966
25.118864315095824,0.0050171628625654595,88.24620636270986
31.622776601683825,0.006314968954730481,87.79234524474829
39.81071705534977,0.007947553018458932,87.2212071459494
50.11872336272729,0.010000350562218915,86.50266352193158
63.0957344480194,0.012579686095635563,85.599019775561
79.43282347242825,0.015816973863164625,84.46328724157209
100.00000000000014,0.019872843678872824,83.03723159163816
125.89254117941691,0.024940098757597416,81.24934971406367
158.4893192461116,0.03124323170702921,79.01314890731906
199.52623149688827,0.039030179322229866,76.2265103049566
251.18864315095843,0.048548901675103284,72.77359259563943
316.2277660168385,0.059997892655466546,68.5316538733768
398.10717055349795,0.07343911762743631,63.38593182654678
501.1872336272732,0.08867228882209639,57.25500738316942
630.9573444801945,0.105102021436123,50.124439716603426
794.3282347242831,0.12168068754064187,42.076376477523574
1000.000000000002,0.13702898920097015,33.29274841137
1258.9254117941698,0.14974406080916178,24.015023118223375
1584.8931924611168,0.15873198858383558,14.473087817203233
1995.2623149688839,0.16335315378640317,4.826366561149252
2511.8864315095857,0.16334886445610292,-4.844151830915401
3162.2776601683863,0.15871933360819213,-14.490774405777357
3981.0717055349814,0.1497238235943896,-24.032396584915883
5011.872336272734,0.1370027701471488,-33.30943880095327
6309.5734448019475,0.12165086706823534,-42.09192713396193
7943.2823472428345,0.10507127171748665,-50.13844221712423
10000.000000000025,0.08864291211705722,-57.267213717317155
12589.254117941706,0.07341262894967186,-63.396286444194416
15848.931924611177,0.05997498747254169,-68.54025590587487
19952.62314968885,0.048529663731348406,-72.78063198394213
25118.86431509587,0.03901433560109151,-76.2322116296247
31622.776601683883,0.031230351116769087,-79.0177347476004
39810.71705534984,0.024929714718307742,-81.25302170487893
50118.72336272738,0.01986451736513119,-83.04016328550135
63095.734448019524,0.01581032047492838,-84.46562352423554
79432.82347242841,0.012574381139328215,-85.60087936116416
100000.00000000033,0.009996126621643337,-86.50414256049312
125892.54117941715,0.00794419276360792,-87.22238295131386
158489.3192461119,0.006312297268659692,-87.79327970368777
199526.23149688868,0.005015039391911632,-88.24694887241421
251188.64315095893,0.003984090536489076,-88.6074062848388
316227.76601683913,0.003164927849229656,-88.89377551374972
398107.1705534988,0.0025141179977273883,-89.12127060667058
501187.2336272742,0.0019970982917014045,-89.30198837752714
630957.3444801958,0.0015863833285601934,-89.44554361809806
794328.2347242847,0.0012601249914032176,-89.55957661264213
1000000.0000000041,0.0010009608403084825,-89.65015775041243
1258925.4117941724,0.0007950954570370247,-89.72210966275165
1584893.19246112,0.0006315687754610126,-89.77926347770911
1995262.314968888,0.0005016739152240918,-89.82466255682698
2511886.4315095907,0.00039849425903493234,-89.86072442251483
3162277.660168393,0.0003165354936994326,-89.88936942839794
3981071.70553499,0.0002514332064239369,-89.91212298929676
5011872.336272745,0.0001997205584030786,-89.93019679715866
6309573.444801961,0.0001586437103663949,-89.94455333906632
7943282.347242852,0.00012601519432914156,-89.9559571486707
10000000.000000047,0.00010009743484065835,-89.96501551813355
12589254.117941732,0.00007951022271726167,-89.97221083751556
15848931.92461121,0.00006315721685821231,-89.977926283238
19952623.149688892,0.0000501675615818002,-89.98246622333954
25118864.315095924,0.00003984951113524479,-89.98607242604149
31622776.60168395,0.00003165359208705831,-89.98893693471555
39810717.05534992,0.000025143342051681988,-89.99121229485792
50118723.36272748,0.00001997206657037476,-89.99301967767514
63095734.448019646,0.000015864376414413578,-89.99445533288385
79432823.47242856,0.000012601522128186375,-89.99559571435445
100000000.00000052,0.00001000974483490201,-89.99650155155643
125892541.17941739,0.000007951022948748064,-89.9972210836228
158489319.2461122,0.000006315722025135978,-89.99779262825928
199526231.49688905,0.0000050167563282402405,-89.99824662230162
