X--Trace 1::[AC: FREQUENCY],Mag: PR1: V(5),Phase: PR1: V(5)
1,0.9999949993239609,-0.0810292378547784
1.2589254117941673,0.9999949993171788,-0.10200978652172847
1.5848931924611136,0.9999949993057294,-0.12842275218571106
1.99526231496888,0.9999949992858225,-0.1616747453546408
2.5118864315095806,0.999994999249851,-0.20353660334784793
3.16227766016838,0.9999949991817333,-0.25623771738637857
3.9810717055349736,0.9999949990458775,-0.3225848027839241
5.011872336272725,0.9999949987604831,-0.40611146050450936
6.309573444801935,0.9999949981321399,-0.5112665413114561
7.9432823472428185,0.9999949966941307,-0.6436514364046697
10.000000000000005,0.9999949933044048,-0.8103191162963673
12.58925411794168,0.9999949851422604,-1.0201512121479415
15.848931924611145,0.9999949651984985,-1.284333956995441
19.95262314968881,0.9999949159873854,-1.6169598006468344
25.118864315095824,0.99999479377787,-2.035789661798933
31.622776601683825,0.9999944890255318,-2.563222234154001
39.81071705534977,0.9999937270481131,-3.227533545659768
50.11872336272729,0.9999918186411649,-4.064475758582602
63.0957344480194,0.9999870338410891,-5.119365788194245
79.43282347242825,0.9999750293005708,-6.449864320476995
100.00000000000014,0.9999448994003693,-8.129767335231497
125.89254117941691,0.9998692637563659,-10.254346005917686
158.4893192461116,0.9996794070915613,-12.948141934861328
199.52623149688827,0.9992030736428259,-16.376730871980964
251.18864315095843,0.9980097143766666,-20.76478944491624
316.2277660168385,0.9950311082457991,-26.423196637766456
398.10717055349795,0.9876655938288961,-33.784592333961676
501.1872336272732,0.9698628920460768,-43.42740098087148
630.9573444801945,0.9290727367958754,-55.99937279614779
794.3282347242831,0.8457157214345637,-71.81402950072545
1000.000000000002,0.7070961883588678,-90.00034399256292
1258.9254117941698,0.5336081997657856,-108.18660247797341
1584.8931924611168,0.3698676895284376,-124.001132189711
1995.2623149688839,0.2436161535009348,-136.57296982729906
2511.8864315095857,0.15653263816666974,-146.2156660333323
3162.2776601683863,0.09950176347416921,-153.57697446936044
3981.0717055349814,0.06296912704693658,-159.2353171618308
5011.872336272734,0.039778170266003714,-163.62333519675107
6309.5734448019475,0.0251101242348876,-167.05191778361842
7943.2823472428345,0.015846257495548677,-169.74576842640778
10000.000000000025,0.009998900233288817,-171.8705216242308
12589.254117941706,0.006308901023643283,-173.55084053932677
15848.931924611177,0.003980526622266617,-174.88224297076886
19952.62314968885,0.002511385928750525,-175.9390212431402
25118.86431509587,0.001584411832087448,-176.77983127674815
31622.776601683883,0.0009995284722841753,-177.45198197873503
39810.71705534984,0.0006304914940986368,-177.99520923800205
50118.72336272738,0.0003976448681211698,-178.4457542058763
63095.734448019524,0.00025072882083443284,-178.84194525372433
79432.82347242841,0.000158031755931168,-179.2334258484181
100000.00000000033,0.00009954563782410733,-179.6981885425202
125892.54117941715,0.00006264788588304376,-180.37576601551808
158489.3192461119,0.00003937834876533532,-181.53353691459066
199526.23149688868,0.00002472507615827889,-183.69987722816637
251188.64315095893,0.00001555248504052721,-187.92097065021093
316227.76601683913,0.000009947529095391206,-196.14175986700454
398107.1705534988,0.0000068378142768314955,-210.93746194215086
501187.2336272742,0.000005678135653772061,-231.4777214445654
630957.3444801958,0.000005970301797267471,-249.74264867561138
794328.2347242847,0.0000071469328594605,-260.82223440195014
1000000.0000000041,0.000008901632826358425,-266.42763677765026
1258925.4117941724,0.000011187258901389015,-269.05245474477795
1584893.19246112,0.000014082573340880442,-270.1985972982603
1995262.314968888,0.000017730132056259348,-270.63748891155245
2511886.4315095907,0.000022321552143450544,-270.75056708184877
3162277.660168393,0.00002810104013999031,-270.7233289537773
3981071.70553499,0.00003537654320014251,-270.6442504863311
5011872.336272745,0.000044535693528725415,-270.554188773702
6309573.444801961,0.00005606637285897192,-270.47093751943135
7943282.347242852,0.00007058270143198316,-270.4013864265624
10000000.000000047,0.00008885775961747235,-270.3475072685063
12589254.117941732,0.00011186476822693828,-270.3092755591272
15848931.92461121,0.00014082891800196447,-270.286081156073
19952623.149688892,0.0001772926068270007,-270.27740348991534
25118864.315095924,0.0002231975536894958,-270.28313856818795
31622776.60168395,0.0002809881499147705,-270.30377121333584
39810717.05534992,0.00035374152542405455,-270.34048994390605
50118723.36272748,0.0004453312036334123,-270.3952948246811
63095734.448019646,0.0005606329542472648,-270.47112614767593
79432823.47242856,0.0007057835947340915,-270.5720318022963
100000000.00000052,0.0008885061003937504,-270.7033876038165
125892541.17941739,0.0011185174943267842,-270.8721846786198
158489319.2461122,0.0014080395605095945,-271.08739975951914
199526231.49688905,0.0017724362334227458,-271.3604671176515
251188643.1509594,0.0022310049514964888,-271.7058742404173
316227766.0168397,0.002807950886346017,-272.1419064417313
398107170.55349946,0.003533569688678045,-272.6915668181312
501187233.6272751,0.004445649876654466,-273.3836941948373
630957344.4801968,0.00559106763249046,-274.25428659413853
794328234.7242861,0.0070274604444585925,-275.34799889237263
1000000000.0000058,0.008824687717763104,-276.719697402283
1258925411.7941747,0.011065441901946223,-278.43577992144463
1584893192.461123,0.013843755323660521,-280.5746417964952
1995262314.9688916,0.017259154350628685,-283.2251040897355
2511886431.5095954,0.021402924753746857,-286.4807801611938
3162277660.168399,0.02633212249255525,-290.42745076835166
3981071705.5349975,0.032028886650868546,-295.12044901983154
5011872336.272755,0.03835141835128276,-300.5519053981385
6309573444.801973,0.04500081016872522,-306.6158975214419
7943282347.2428665,0.05154351989805531,-313.09130739666904
10000000000.000065,0.05751279981149952,-319.66548210510683
